,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Addison,Vermont,50001,896,8,0.029,0.045,0.086,0.139,0.702
1,2021-03-27,Bennington,Vermont,50003,1651,10,0.028,0.058,0.061,0.084,0.77
2,2021-03-27,Caledonia,Vermont,50005,638,5,0.076,0.121,0.078,0.154,0.57
3,2021-03-27,Chittenden,Vermont,50007,5906,95,0.031,0.07,0.065,0.115,0.718
4,2021-03-27,Essex,Vermont,50009,207,1,0.054,0.075,0.083,0.158,0.631
5,2021-03-27,Franklin,Vermont,50011,1647,37,0.042,0.058,0.056,0.134,0.71
6,2021-03-27,Grand Isle,Vermont,50013,164,2,0.031,0.039,0.088,0.113,0.729
7,2021-03-27,Lamoille,Vermont,50015,672,2,0.027,0.181,0.062,0.141,0.59
8,2021-03-27,Orange,Vermont,50017,545,3,0.029,0.095,0.073,0.107,0.696
9,2021-03-27,Orleans,Vermont,50019,839,7,0.07,0.174,0.061,0.149,0.546
10,2021-03-27,Rutland,Vermont,50021,1632,14,0.031,0.037,0.088,0.205,0.639
11,2021-03-27,Washington,Vermont,50023,1577,14,0.051,0.19,0.104,0.05,0.604
12,2021-03-27,Windham,Vermont,50025,1074,14,0.075,0.031,0.035,0.151,0.708
13,2021-03-27,Windsor,Vermont,50027,1163,12,0.061,0.055,0.03,0.227,0.627
14,2021-03-27,Unknown,Vermont,,12,0,,,,,
