,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Barbour,West Virginia,54001,1313,24,0.092,0.031,0.071,0.287,0.519
1,2021-03-27,Berkeley,West Virginia,54003,10520,116,0.065,0.049,0.196,0.166,0.524
2,2021-03-27,Boone,West Virginia,54005,1731,37,0.097,0.138,0.093,0.197,0.475
3,2021-03-27,Braxton,West Virginia,54007,832,1,0.102,0.131,0.167,0.202,0.398
4,2021-03-27,Brooke,West Virginia,54009,2058,60,0.067,0.11,0.195,0.192,0.436
5,2021-03-27,Cabell,West Virginia,54011,8352,174,0.092,0.09,0.154,0.186,0.476
6,2021-03-27,Calhoun,West Virginia,54013,242,0,0.085,0.07,0.227,0.21,0.408
7,2021-03-27,Clay,West Virginia,54015,388,8,0.098,0.097,0.162,0.152,0.491
8,2021-03-27,Doddridge,West Virginia,54017,512,6,0.187,0.011,0.075,0.307,0.42
9,2021-03-27,Fayette,West Virginia,54019,2941,74,0.14,0.088,0.226,0.137,0.409
10,2021-03-27,Gilmer,West Virginia,54021,728,8,0.141,0.076,0.144,0.236,0.403
11,2021-03-27,Grant,West Virginia,54023,1163,27,0.1,0.232,0.067,0.193,0.407
12,2021-03-27,Greenbrier,West Virginia,54025,2484,60,0.07,0.03,0.113,0.233,0.554
13,2021-03-27,Hampshire,West Virginia,54027,1601,32,0.021,0.035,0.088,0.236,0.619
14,2021-03-27,Hancock,West Virginia,54029,2627,95,0.072,0.128,0.151,0.19,0.459
15,2021-03-27,Hardy,West Virginia,54031,1379,23,0.039,0.152,0.103,0.23,0.476
16,2021-03-27,Harrison,West Virginia,54033,5103,77,0.132,0.021,0.071,0.319,0.457
17,2021-03-27,Jackson,West Virginia,54035,1762,57,0.111,0.055,0.097,0.216,0.522
18,2021-03-27,Jefferson,West Virginia,54037,3952,46,0.041,0.038,0.2,0.169,0.552
19,2021-03-27,Kanawha,West Virginia,54039,12912,328,0.145,0.039,0.064,0.147,0.605
20,2021-03-27,Lewis,West Virginia,54041,1091,20,0.161,0.029,0.068,0.288,0.454
21,2021-03-27,Lincoln,West Virginia,54043,1349,20,0.091,0.077,0.164,0.167,0.501
22,2021-03-27,Logan,West Virginia,54045,2924,83,0.082,0.11,0.116,0.247,0.445
23,2021-03-27,McDowell,West Virginia,54047,1407,22,0.07,0.095,0.189,0.226,0.42
24,2021-03-27,Marion,West Virginia,54049,3895,48,0.069,0.06,0.111,0.281,0.479
25,2021-03-27,Marshall,West Virginia,54051,3163,72,0.075,0.095,0.077,0.256,0.497
26,2021-03-27,Mason,West Virginia,54053,1856,40,0.081,0.095,0.195,0.149,0.481
27,2021-03-27,Mercer,West Virginia,54055,4366,120,0.076,0.152,0.174,0.103,0.495
28,2021-03-27,Mineral,West Virginia,54057,2629,80,0.033,0.016,0.042,0.234,0.674
29,2021-03-27,Mingo,West Virginia,54059,2284,36,0.084,0.093,0.093,0.172,0.558
30,2021-03-27,Monongalia,West Virginia,54061,8587,85,0.046,0.077,0.139,0.221,0.517
31,2021-03-27,Monroe,West Virginia,54063,1011,15,0.048,0.063,0.116,0.14,0.634
32,2021-03-27,Morgan,West Virginia,54065,1001,16,0.025,0.085,0.169,0.258,0.463
33,2021-03-27,Nicholas,West Virginia,54067,1364,15,0.06,0.088,0.166,0.143,0.542
34,2021-03-27,Ohio,West Virginia,54069,3810,77,0.108,0.068,0.092,0.243,0.49
35,2021-03-27,Pendleton,West Virginia,54071,652,7,0.06,0.142,0.128,0.214,0.456
36,2021-03-27,Pleasants,West Virginia,54073,819,18,0.088,0.108,0.17,0.287,0.346
37,2021-03-27,Pocahontas,West Virginia,54075,615,9,0.075,0.03,0.17,0.227,0.499
38,2021-03-27,Preston,West Virginia,54077,2700,46,0.057,0.028,0.087,0.247,0.58
39,2021-03-27,Putnam,West Virginia,54079,4497,88,0.087,0.048,0.088,0.184,0.593
40,2021-03-27,Raleigh,West Virginia,54081,5377,67,0.087,0.083,0.257,0.148,0.426
41,2021-03-27,Randolph,West Virginia,54083,2449,12,0.098,0.05,0.14,0.265,0.447
42,2021-03-27,Ritchie,West Virginia,54085,639,11,0.141,0.059,0.183,0.262,0.356
43,2021-03-27,Roane,West Virginia,54087,518,8,0.082,0.024,0.191,0.21,0.493
44,2021-03-27,Summers,West Virginia,54089,723,23,0.053,0.104,0.166,0.111,0.567
45,2021-03-27,Taylor,West Virginia,54091,1143,21,0.072,0.032,0.092,0.288,0.517
46,2021-03-27,Tucker,West Virginia,54093,516,10,0.108,0.087,0.048,0.292,0.465
47,2021-03-27,Tyler,West Virginia,54095,657,8,0.083,0.056,0.137,0.272,0.452
48,2021-03-27,Upshur,West Virginia,54097,1769,32,0.131,0.039,0.077,0.278,0.475
49,2021-03-27,Wayne,West Virginia,54099,2729,34,0.111,0.119,0.186,0.162,0.423
50,2021-03-27,Webster,West Virginia,54101,441,7,0.065,0.083,0.163,0.211,0.479
51,2021-03-27,Wetzel,West Virginia,54103,1156,24,0.051,0.067,0.081,0.279,0.521
52,2021-03-27,Wirt,West Virginia,54105,368,3,0.112,0.059,0.219,0.222,0.389
53,2021-03-27,Wood,West Virginia,54107,7404,163,0.094,0.099,0.149,0.277,0.381
54,2021-03-27,Wyoming,West Virginia,54109,1807,38,0.073,0.098,0.176,0.245,0.408
