,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Adams,Wisconsin,55001,1783,15,0.163,0.189,0.227,0.213,0.208
1,2021-03-27,Ashland,Wisconsin,55003,1272,16,0.078,0.038,0.118,0.363,0.403
2,2021-03-27,Barron,Wisconsin,55005,5665,76,0.138,0.163,0.07,0.259,0.37
3,2021-03-27,Bayfield,Wisconsin,55007,1167,19,0.067,0.039,0.107,0.392,0.395
4,2021-03-27,Brown,Wisconsin,55009,33657,269,0.069,0.053,0.184,0.208,0.486
5,2021-03-27,Buffalo,Wisconsin,55011,1358,7,0.039,0.106,0.172,0.269,0.414
6,2021-03-27,Burnett,Wisconsin,55013,1364,22,0.097,0.163,0.082,0.236,0.422
7,2021-03-27,Calumet,Wisconsin,55015,6193,50,0.064,0.1,0.141,0.33,0.365
8,2021-03-27,Chippewa,Wisconsin,55017,7360,95,0.059,0.098,0.184,0.246,0.414
9,2021-03-27,Clark,Wisconsin,55019,3558,62,0.162,0.149,0.158,0.146,0.384
10,2021-03-27,Columbia,Wisconsin,55021,5546,68,0.035,0.073,0.082,0.222,0.589
11,2021-03-27,Crawford,Wisconsin,55023,1732,17,0.202,0.033,0.11,0.158,0.497
12,2021-03-27,Dane,Wisconsin,55025,43386,311,0.017,0.02,0.092,0.23,0.641
13,2021-03-27,Dodge,Wisconsin,55027,12395,182,0.11,0.138,0.166,0.2,0.386
14,2021-03-27,Door,Wisconsin,55029,2715,26,0.021,0.03,0.059,0.264,0.627
15,2021-03-27,Douglas,Wisconsin,55031,4377,46,0.044,0.042,0.092,0.327,0.495
16,2021-03-27,Dunn,Wisconsin,55033,4726,30,0.062,0.076,0.179,0.266,0.417
17,2021-03-27,Eau Claire,Wisconsin,55035,11555,116,0.042,0.076,0.203,0.255,0.424
18,2021-03-27,Florence,Wisconsin,55037,479,12,0.053,0.073,0.143,0.238,0.494
19,2021-03-27,Fond du Lac,Wisconsin,55039,13259,111,0.121,0.155,0.158,0.244,0.322
20,2021-03-27,Forest,Wisconsin,55041,1006,26,0.085,0.053,0.162,0.215,0.484
21,2021-03-27,Grant,Wisconsin,55043,5432,88,0.103,0.102,0.18,0.166,0.449
22,2021-03-27,Green,Wisconsin,55045,3447,22,0.092,0.084,0.119,0.269,0.436
23,2021-03-27,Green Lake,Wisconsin,55047,1968,21,0.092,0.122,0.184,0.117,0.486
24,2021-03-27,Iowa,Wisconsin,55049,2036,11,0.065,0.077,0.092,0.333,0.433
25,2021-03-27,Iron,Wisconsin,55051,683,40,0.04,0.052,0.142,0.248,0.518
26,2021-03-27,Jackson,Wisconsin,55053,2638,28,0.027,0.1,0.14,0.329,0.404
27,2021-03-27,Jefferson,Wisconsin,55055,9101,126,0.114,0.093,0.096,0.179,0.518
28,2021-03-27,Juneau,Wisconsin,55057,3147,22,0.113,0.124,0.18,0.232,0.352
29,2021-03-27,Kenosha,Wisconsin,55059,17407,318,0.077,0.083,0.097,0.155,0.589
30,2021-03-27,Kewaunee,Wisconsin,55061,2608,30,0.033,0.035,0.112,0.208,0.612
31,2021-03-27,La Crosse,Wisconsin,55063,13161,80,0.064,0.072,0.076,0.289,0.498
32,2021-03-27,Lafayette,Wisconsin,55065,1646,7,0.056,0.098,0.197,0.253,0.396
33,2021-03-27,Langlade,Wisconsin,55067,2103,45,0.085,0.102,0.142,0.239,0.432
34,2021-03-27,Lincoln,Wisconsin,55069,3144,78,0.101,0.105,0.132,0.204,0.459
35,2021-03-27,Manitowoc,Wisconsin,55071,8510,86,0.175,0.089,0.259,0.133,0.345
36,2021-03-27,Marathon,Wisconsin,55073,15297,218,0.123,0.136,0.165,0.236,0.34
37,2021-03-27,Marinette,Wisconsin,55075,4409,68,0.093,0.104,0.066,0.258,0.479
38,2021-03-27,Marquette,Wisconsin,55077,1506,27,0.174,0.191,0.2,0.163,0.271
39,2021-03-27,Menominee,Wisconsin,55078,797,11,0.042,0.103,0.31,0.246,0.3
40,2021-03-27,Milwaukee,Wisconsin,55079,109788,1300,0.053,0.067,0.119,0.264,0.497
41,2021-03-27,Monroe,Wisconsin,55081,4475,35,0.073,0.03,0.154,0.284,0.46
42,2021-03-27,Oconto,Wisconsin,55083,4793,56,0.07,0.082,0.186,0.215,0.447
43,2021-03-27,Oneida,Wisconsin,55085,3636,74,0.057,0.05,0.155,0.186,0.552
44,2021-03-27,Outagamie,Wisconsin,55087,22444,213,0.085,0.124,0.135,0.302,0.353
45,2021-03-27,Ozaukee,Wisconsin,55089,8787,88,0.076,0.113,0.091,0.3,0.42
46,2021-03-27,Pepin,Wisconsin,55091,840,7,0.071,0.056,0.198,0.233,0.443
47,2021-03-27,Pierce,Wisconsin,55093,4525,41,0.063,0.094,0.144,0.25,0.449
48,2021-03-27,Polk,Wisconsin,55095,4120,48,0.081,0.113,0.154,0.253,0.399
49,2021-03-27,Portage,Wisconsin,55097,7080,69,0.157,0.159,0.215,0.188,0.28
50,2021-03-27,Price,Wisconsin,55099,1271,7,0.059,0.081,0.079,0.15,0.631
51,2021-03-27,Racine,Wisconsin,55101,23395,361,0.061,0.067,0.167,0.193,0.512
52,2021-03-27,Richland,Wisconsin,55103,1339,15,0.312,0.074,0.055,0.116,0.443
53,2021-03-27,Rock,Wisconsin,55105,16353,179,0.023,0.139,0.096,0.277,0.464
54,2021-03-27,Rusk,Wisconsin,55107,1323,17,0.095,0.135,0.106,0.168,0.496
55,2021-03-27,St. Croix,Wisconsin,55109,8349,54,0.101,0.102,0.085,0.342,0.37
56,2021-03-27,Sauk,Wisconsin,55111,5723,50,0.063,0.163,0.113,0.193,0.468
57,2021-03-27,Sawyer,Wisconsin,55113,1602,22,0.058,0.126,0.133,0.256,0.427
58,2021-03-27,Shawano,Wisconsin,55115,5168,81,0.05,0.121,0.355,0.188,0.286
59,2021-03-27,Sheboygan,Wisconsin,55117,14054,142,0.128,0.114,0.174,0.199,0.385
60,2021-03-27,Taylor,Wisconsin,55119,2043,32,0.201,0.165,0.09,0.12,0.424
61,2021-03-27,Trempealeau,Wisconsin,55121,3551,41,0.02,0.126,0.085,0.381,0.387
62,2021-03-27,Vernon,Wisconsin,55123,1935,41,0.157,0.052,0.093,0.244,0.454
