,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-27,Albany,Wyoming,56001,3961,11,0.136,0.1,0.151,0.181,0.432
1,2021-03-27,Big Horn,Wyoming,56003,1109,32,0.182,0.187,0.12,0.257,0.253
2,2021-03-27,Campbell,Wyoming,56005,4733,59,0.216,0.164,0.131,0.201,0.289
3,2021-03-27,Carbon,Wyoming,56007,1516,23,0.044,0.137,0.087,0.278,0.454
4,2021-03-27,Converse,Wyoming,56009,982,17,0.138,0.113,0.121,0.293,0.335
5,2021-03-27,Crook,Wyoming,56011,422,11,0.145,0.115,0.143,0.192,0.404
6,2021-03-27,Fremont,Wyoming,56013,5044,82,0.16,0.062,0.06,0.294,0.424
7,2021-03-27,Goshen,Wyoming,56015,1168,23,0.201,0.169,0.111,0.223,0.296
8,2021-03-27,Hot Springs,Wyoming,56017,363,3,0.208,0.093,0.068,0.307,0.324
9,2021-03-27,Johnson,Wyoming,56019,712,10,0.183,0.208,0.103,0.216,0.29
10,2021-03-27,Laramie,Wyoming,56021,8561,110,0.143,0.127,0.1,0.221,0.409
11,2021-03-27,Lincoln,Wyoming,56023,1328,12,0.131,0.183,0.128,0.235,0.324
12,2021-03-27,Natrona,Wyoming,56025,7798,133,0.1,0.084,0.094,0.325,0.398
13,2021-03-27,Niobrara,Wyoming,56027,150,2,0.169,0.191,0.177,0.222,0.241
14,2021-03-27,Park,Wyoming,56029,2643,30,0.189,0.153,0.191,0.205,0.262
15,2021-03-27,Platte,Wyoming,56031,607,11,0.149,0.149,0.123,0.16,0.418
16,2021-03-27,Sheridan,Wyoming,56033,3064,31,0.17,0.251,0.099,0.203,0.278
17,2021-03-27,Sublette,Wyoming,56035,693,7,0.223,0.111,0.061,0.231,0.374
18,2021-03-27,Sweetwater,Wyoming,56037,3990,36,0.061,0.295,0.23,0.146,0.268
19,2021-03-27,Teton,Wyoming,56039,3562,9,0.095,0.157,0.16,0.247,0.34
20,2021-03-27,Uinta,Wyoming,56041,2119,12,0.098,0.278,0.154,0.207,0.264
21,2021-03-27,Washakie,Wyoming,56043,889,26,0.204,0.155,0.069,0.285,0.287
22,2021-03-27,Weston,Wyoming,56045,632,5,0.142,0.129,0.148,0.207,0.374
