,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Arkansas,Arkansas,05001,2072,36,0.019,0.073,0.134,0.216,0.557
1,2021-03-28,Ashley,Arkansas,05003,1897,33,0.023,0.103,0.163,0.117,0.595
2,2021-03-28,Baxter,Arkansas,05005,3060,99,0.15,0.104,0.108,0.104,0.534
3,2021-03-28,Benton,Arkansas,05007,28078,404,0.081,0.034,0.083,0.16,0.643
4,2021-03-28,Boone,Arkansas,05009,3735,79,0.129,0.145,0.122,0.189,0.416
5,2021-03-28,Bradley,Arkansas,05011,1355,32,0.094,0.102,0.175,0.184,0.445
6,2021-03-28,Calhoun,Arkansas,05013,409,3,0.145,0.132,0.108,0.211,0.404
7,2021-03-28,Carroll,Arkansas,05015,2747,44,0.111,0.068,0.115,0.129,0.577
8,2021-03-28,Chicot,Arkansas,05017,1609,38,0.104,0.074,0.193,0.097,0.531
9,2021-03-28,Clark,Arkansas,05019,2078,40,0.08,0.091,0.08,0.231,0.518
10,2021-03-28,Clay,Arkansas,05021,1722,50,0.082,0.124,0.157,0.242,0.395
11,2021-03-28,Cleburne,Arkansas,05023,1940,71,0.036,0.065,0.093,0.259,0.546
12,2021-03-28,Cleveland,Arkansas,05025,937,25,0.107,0.03,0.16,0.231,0.472
13,2021-03-28,Columbia,Arkansas,05027,2314,55,0.241,0.072,0.054,0.25,0.383
14,2021-03-28,Conway,Arkansas,05029,2186,32,0.071,0.12,0.137,0.347,0.325
15,2021-03-28,Craighead,Arkansas,05031,13061,174,0.078,0.123,0.138,0.341,0.32
16,2021-03-28,Crawford,Arkansas,05033,6969,115,0.155,0.1,0.167,0.211,0.367
17,2021-03-28,Crittenden,Arkansas,05035,5855,95,0.059,0.017,0.11,0.306,0.508
18,2021-03-28,Cross,Arkansas,05037,1916,49,0.097,0.017,0.163,0.319,0.404
19,2021-03-28,Dallas,Arkansas,05039,756,15,0.197,0.055,0.093,0.196,0.459
20,2021-03-28,Desha,Arkansas,05041,1355,24,0.078,0.033,0.19,0.189,0.509
21,2021-03-28,Drew,Arkansas,05043,1981,39,0.063,0.049,0.207,0.159,0.523
22,2021-03-28,Faulkner,Arkansas,05045,12157,157,0.066,0.027,0.077,0.403,0.426
23,2021-03-28,Franklin,Arkansas,05047,1668,39,0.149,0.079,0.245,0.187,0.34
24,2021-03-28,Fulton,Arkansas,05049,1098,47,0.105,0.121,0.226,0.197,0.351
25,2021-03-28,Garland,Arkansas,05051,10021,254,0.025,0.102,0.068,0.21,0.596
26,2021-03-28,Grant,Arkansas,05053,1632,32,0.082,0.043,0.127,0.258,0.489
27,2021-03-28,Greene,Arkansas,05055,5999,74,0.062,0.141,0.154,0.346,0.297
28,2021-03-28,Hempstead,Arkansas,05057,1976,18,0.098,0.073,0.096,0.179,0.554
29,2021-03-28,Hot Spring,Arkansas,05059,4988,69,0.059,0.086,0.079,0.216,0.56
30,2021-03-28,Howard,Arkansas,05061,1637,24,0.081,0.07,0.145,0.145,0.56
31,2021-03-28,Independence,Arkansas,05063,3709,120,0.137,0.156,0.088,0.179,0.44
32,2021-03-28,Izard,Arkansas,05065,1654,41,0.086,0.121,0.133,0.23,0.43
33,2021-03-28,Jackson,Arkansas,05067,3203,38,0.116,0.103,0.135,0.179,0.468
34,2021-03-28,Jefferson,Arkansas,05069,8728,162,0.042,0.036,0.172,0.173,0.577
35,2021-03-28,Johnson,Arkansas,05071,2875,36,0.144,0.103,0.205,0.221,0.328
36,2021-03-28,Lafayette,Arkansas,05073,541,9,0.12,0.082,0.078,0.234,0.486
37,2021-03-28,Lawrence,Arkansas,05075,2065,42,0.085,0.128,0.153,0.298,0.337
38,2021-03-28,Lee,Arkansas,05077,1655,34,0.103,0.032,0.195,0.263,0.407
39,2021-03-28,Lincoln,Arkansas,05079,3176,48,0.035,0.016,0.194,0.201,0.554
40,2021-03-28,Little River,Arkansas,05081,1217,40,0.074,0.121,0.106,0.201,0.499
41,2021-03-28,Logan,Arkansas,05083,2206,21,0.148,0.11,0.12,0.143,0.479
42,2021-03-28,Lonoke,Arkansas,05085,7038,114,0.048,0.045,0.136,0.297,0.474
43,2021-03-28,Madison,Arkansas,05087,1435,22,0.075,0.088,0.159,0.114,0.564
44,2021-03-28,Marion,Arkansas,05089,1027,30,0.171,0.112,0.119,0.108,0.49
45,2021-03-28,Miller,Arkansas,05091,4199,36,0.064,0.124,0.106,0.219,0.487
46,2021-03-28,Mississippi,Arkansas,05093,5740,106,0.033,0.109,0.134,0.284,0.44
47,2021-03-28,Monroe,Arkansas,05095,859,16,0.068,0.128,0.127,0.271,0.406
48,2021-03-28,Montgomery,Arkansas,05097,750,32,0.081,0.095,0.136,0.166,0.521
49,2021-03-28,Nevada,Arkansas,05099,816,24,0.143,0.048,0.084,0.224,0.501
50,2021-03-28,Newton,Arkansas,05101,705,26,0.107,0.14,0.084,0.261,0.408
51,2021-03-28,Ouachita,Arkansas,05103,2286,60,0.151,0.097,0.06,0.242,0.449
52,2021-03-28,Perry,Arkansas,05105,821,10,0.098,0.051,0.08,0.367,0.404
53,2021-03-28,Phillips,Arkansas,05107,1735,37,0.052,0.061,0.134,0.276,0.477
54,2021-03-28,Pike,Arkansas,05109,997,22,0.064,0.061,0.2,0.176,0.501
55,2021-03-28,Poinsett,Arkansas,05111,3113,76,0.077,0.098,0.141,0.287,0.397
56,2021-03-28,Polk,Arkansas,05113,1958,69,0.18,0.08,0.217,0.076,0.446
57,2021-03-28,Pope,Arkansas,05115,7841,105,0.082,0.151,0.181,0.285,0.302
58,2021-03-28,Prairie,Arkansas,05117,887,20,0.062,0.17,0.103,0.273,0.391
59,2021-03-28,Pulaski,Arkansas,05119,38252,618,0.028,0.027,0.126,0.175,0.644
60,2021-03-28,Randolph,Arkansas,05121,2053,47,0.051,0.145,0.203,0.289,0.311
61,2021-03-28,St. Francis,Arkansas,05123,3501,41,0.087,0.007,0.289,0.267,0.35
62,2021-03-28,Saline,Arkansas,05125,11703,162,0.066,0.044,0.154,0.212,0.524
63,2021-03-28,Scott,Arkansas,05127,927,14,0.155,0.14,0.124,0.123,0.458
64,2021-03-28,Searcy,Arkansas,05129,668,16,0.1,0.088,0.125,0.149,0.538
65,2021-03-28,Sebastian,Arkansas,05131,15009,272,0.121,0.142,0.157,0.208,0.372
66,2021-03-28,Sevier,Arkansas,05133,2775,24,0.12,0.093,0.155,0.165,0.467
67,2021-03-28,Sharp,Arkansas,05135,1548,45,0.067,0.158,0.22,0.222,0.333
68,2021-03-28,Stone,Arkansas,05137,982,29,0.067,0.092,0.11,0.234,0.498
69,2021-03-28,Union,Arkansas,05139,3913,109,0.116,0.179,0.098,0.262,0.344
70,2021-03-28,Van Buren,Arkansas,05141,1240,21,0.033,0.06,0.096,0.272,0.539
71,2021-03-28,Washington,Arkansas,05143,30138,343,0.034,0.028,0.101,0.186,0.651
72,2021-03-28,White,Arkansas,05145,7784,116,0.026,0.054,0.152,0.277,0.491
73,2021-03-28,Woodruff,Arkansas,05147,632,12,0.059,0.048,0.208,0.231,0.454
74,2021-03-28,Yell,Arkansas,05149,3406,64,0.116,0.1,0.112,0.198,0.474
75,2021-03-28,Unknown,Arkansas,,2954,0,,,,,
