,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Adams,Indiana,18001,3384,52,0.136,0.047,0.16,0.348,0.309
1,2021-03-28,Allen,Indiana,18003,37634,683,0.07,0.14,0.099,0.228,0.464
2,2021-03-28,Bartholomew,Indiana,18005,7707,156,0.138,0.084,0.085,0.286,0.406
3,2021-03-28,Benton,Indiana,18007,930,13,0.082,0.126,0.112,0.183,0.496
4,2021-03-28,Blackford,Indiana,18009,1307,29,0.093,0.152,0.106,0.203,0.447
5,2021-03-28,Boone,Indiana,18011,6370,102,0.052,0.085,0.142,0.308,0.413
6,2021-03-28,Brown,Indiana,18013,967,40,0.055,0.061,0.041,0.184,0.66
7,2021-03-28,Carroll,Indiana,18015,1803,22,0.059,0.104,0.17,0.22,0.447
8,2021-03-28,Cass,Indiana,18017,5604,103,0.037,0.192,0.283,0.206,0.283
9,2021-03-28,Clark,Indiana,18019,12420,194,0.068,0.06,0.141,0.228,0.501
10,2021-03-28,Clay,Indiana,18021,2467,44,0.122,0.073,0.112,0.226,0.466
11,2021-03-28,Clinton,Indiana,18023,4055,58,0.088,0.033,0.132,0.285,0.462
12,2021-03-28,Crawford,Indiana,18025,959,14,0.067,0.089,0.118,0.261,0.465
13,2021-03-28,Daviess,Indiana,18027,2876,100,0.049,0.061,0.13,0.214,0.546
14,2021-03-28,Dearborn,Indiana,18029,5593,76,0.083,0.1,0.168,0.277,0.371
15,2021-03-28,Decatur,Indiana,18031,2812,96,0.175,0.083,0.101,0.204,0.437
16,2021-03-28,DeKalb,Indiana,18033,3974,84,0.109,0.074,0.118,0.149,0.55
17,2021-03-28,Delaware,Indiana,18035,10103,188,0.095,0.109,0.124,0.197,0.475
18,2021-03-28,Dubois,Indiana,18037,6022,116,0.01,0.105,0.086,0.25,0.55
19,2021-03-28,Elkhart,Indiana,18039,26296,442,0.03,0.097,0.094,0.252,0.528
20,2021-03-28,Fayette,Indiana,18041,2884,61,0.161,0.041,0.048,0.237,0.514
21,2021-03-28,Floyd,Indiana,18043,7414,179,0.053,0.086,0.154,0.233,0.474
22,2021-03-28,Fountain,Indiana,18045,2056,45,0.077,0.089,0.147,0.212,0.474
23,2021-03-28,Franklin,Indiana,18047,1648,36,0.07,0.082,0.104,0.199,0.545
24,2021-03-28,Fulton,Indiana,18049,1856,39,0.142,0.114,0.128,0.217,0.399
25,2021-03-28,Gibson,Indiana,18051,4197,90,0.09,0.1,0.204,0.255,0.351
26,2021-03-28,Grant,Indiana,18053,7040,172,0.053,0.108,0.133,0.311,0.393
27,2021-03-28,Greene,Indiana,18055,2677,89,0.099,0.027,0.081,0.235,0.558
28,2021-03-28,Hamilton,Indiana,18057,33346,421,0.07,0.051,0.049,0.234,0.596
29,2021-03-28,Hancock,Indiana,18059,7684,139,0.068,0.04,0.166,0.306,0.42
30,2021-03-28,Harrison,Indiana,18061,4205,71,0.094,0.084,0.205,0.258,0.359
