,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Aitkin,Minnesota,27001,1214,36,0.187,0.115,0.075,0.247,0.375
1,2021-03-28,Anoka,Minnesota,27003,35192,405,0.054,0.078,0.132,0.245,0.492
2,2021-03-28,Becker,Minnesota,27005,3262,48,0.052,0.28,0.175,0.24,0.252
3,2021-03-28,Beltrami,Minnesota,27007,3526,54,0.094,0.155,0.225,0.185,0.34
4,2021-03-28,Benton,Minnesota,27009,4864,95,0.084,0.139,0.209,0.147,0.42
5,2021-03-28,Big Stone,Minnesota,27011,542,4,0.256,0.121,0.185,0.146,0.292
6,2021-03-28,Blue Earth,Minnesota,27013,6461,38,0.065,0.078,0.146,0.276,0.435
7,2021-03-28,Brown,Minnesota,27015,2720,39,0.101,0.061,0.251,0.265,0.322
8,2021-03-28,Carlton,Minnesota,27017,3119,51,0.058,0.054,0.09,0.329,0.469
9,2021-03-28,Carver,Minnesota,27019,8703,41,0.024,0.128,0.183,0.296,0.368
10,2021-03-28,Cass,Minnesota,27021,2300,26,0.105,0.127,0.107,0.235,0.426
11,2021-03-28,Chippewa,Minnesota,27023,1419,35,0.108,0.106,0.244,0.224,0.318
12,2021-03-28,Chisago,Minnesota,27025,5186,48,0.064,0.104,0.165,0.253,0.414
13,2021-03-28,Clay,Minnesota,27027,7265,89,0.092,0.121,0.138,0.23,0.419
14,2021-03-28,Clearwater,Minnesota,27029,737,14,0.065,0.21,0.203,0.172,0.351
15,2021-03-28,Cook,Minnesota,27031,137,0,0.184,0.02,0.038,0.257,0.5
16,2021-03-28,Cottonwood,Minnesota,27033,1443,20,0.216,0.045,0.262,0.215,0.263
17,2021-03-28,Crow Wing,Minnesota,27035,5481,85,0.147,0.112,0.081,0.249,0.411
18,2021-03-28,Dakota,Minnesota,27037,38886,409,0.072,0.076,0.129,0.236,0.488
19,2021-03-28,Dodge,Minnesota,27039,1606,4,0.035,0.096,0.071,0.325,0.473
20,2021-03-28,Douglas,Minnesota,27041,4121,70,0.099,0.178,0.148,0.225,0.35
21,2021-03-28,Faribault,Minnesota,27043,1370,18,0.078,0.158,0.163,0.261,0.34
22,2021-03-28,Fillmore,Minnesota,27045,1475,9,0.026,0.102,0.099,0.29,0.483
23,2021-03-28,Freeborn,Minnesota,27047,3052,26,0.135,0.085,0.206,0.283,0.291
24,2021-03-28,Goodhue,Minnesota,27049,4139,69,0.03,0.039,0.138,0.28,0.513
25,2021-03-28,Grant,Minnesota,27051,514,8,0.11,0.137,0.193,0.165,0.396
26,2021-03-28,Hennepin,Minnesota,27053,106987,1644,0.021,0.044,0.096,0.243,0.596
27,2021-03-28,Houston,Minnesota,27055,1610,14,0.072,0.08,0.086,0.283,0.478
28,2021-03-28,Hubbard,Minnesota,27057,1634,41,0.078,0.15,0.164,0.227,0.38
29,2021-03-28,Isanti,Minnesota,27059,3309,58,0.104,0.099,0.215,0.14,0.442
30,2021-03-28,Itasca,Minnesota,27061,3388,51,0.162,0.142,0.151,0.209,0.336
31,2021-03-28,Jackson,Minnesota,27063,1011,10,0.325,0.024,0.14,0.171,0.34
32,2021-03-28,Kanabec,Minnesota,27065,1186,21,0.223,0.148,0.137,0.146,0.346
33,2021-03-28,Kandiyohi,Minnesota,27067,6013,79,0.109,0.107,0.182,0.29,0.312
34,2021-03-28,Kittson,Minnesota,27069,426,22,0.068,0.168,0.221,0.251,0.292
35,2021-03-28,Koochiching,Minnesota,27071,677,11,0.159,0.183,0.087,0.255,0.316
36,2021-03-28,Lac qui Parle,Minnesota,27073,714,21,0.184,0.096,0.248,0.179,0.293
37,2021-03-28,Lake,Minnesota,27075,762,19,0.087,0.033,0.075,0.341,0.464
38,2021-03-28,Lake of the Woods,Minnesota,27077,249,2,0.091,0.171,0.176,0.249,0.313
39,2021-03-28,Le Sueur,Minnesota,27079,2516,22,0.055,0.168,0.147,0.254,0.377
40,2021-03-28,Lincoln,Minnesota,27081,534,2,0.11,0.078,0.203,0.292,0.317
41,2021-03-28,Lyon,Minnesota,27083,3285,47,0.134,0.075,0.242,0.21,0.339
42,2021-03-28,McLeod,Minnesota,27085,3620,54,0.061,0.176,0.193,0.383,0.186
43,2021-03-28,Mahnomen,Minnesota,27087,467,7,0.07,0.279,0.083,0.185,0.382
44,2021-03-28,Marshall,Minnesota,27089,820,16,0.078,0.152,0.221,0.234,0.315
45,2021-03-28,Martin,Minnesota,27091,2017,29,0.18,0.115,0.134,0.205,0.366
46,2021-03-28,Meeker,Minnesota,27093,2179,36,0.072,0.144,0.094,0.323,0.367
47,2021-03-28,Mille Lacs,Minnesota,27095,2502,47,0.224,0.122,0.159,0.146,0.349
48,2021-03-28,Morrison,Minnesota,27097,3614,55,0.14,0.126,0.121,0.24,0.373
49,2021-03-28,Mower,Minnesota,27099,4350,31,0.071,0.107,0.113,0.262,0.448
50,2021-03-28,Murray,Minnesota,27101,977,8,0.131,0.071,0.224,0.27,0.303
51,2021-03-28,Nicollet,Minnesota,27103,2807,42,0.063,0.085,0.164,0.296,0.392
52,2021-03-28,Nobles,Minnesota,27105,3912,47,0.244,0.078,0.18,0.215,0.284
53,2021-03-28,Norman,Minnesota,27107,494,9,0.122,0.154,0.109,0.186,0.428
54,2021-03-28,Olmsted,Minnesota,27109,12284,94,0.023,0.101,0.057,0.333,0.485
55,2021-03-28,Otter Tail,Minnesota,27111,5104,71,0.078,0.182,0.278,0.17,0.291
56,2021-03-28,Pennington,Minnesota,27113,1473,18,0.081,0.197,0.211,0.205,0.306
57,2021-03-28,Pine,Minnesota,27115,2959,20,0.178,0.143,0.074,0.242,0.364
