,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Adams,Nebraska,31001,2794,38,0.057,0.128,0.089,0.291,0.435
1,2021-03-28,Antelope,Nebraska,31003,487,6,0.198,0.096,0.191,0.161,0.354
2,2021-03-28,Arthur,Nebraska,31005,22,1,0.144,0.135,0.117,0.248,0.356
3,2021-03-28,Banner,Nebraska,31007,35,0,0.249,0.128,0.134,0.216,0.272
4,2021-03-28,Blaine,Nebraska,31009,20,0,0.176,0.103,0.123,0.305,0.293
5,2021-03-28,Boone,Nebraska,31011,552,5,0.156,0.08,0.151,0.197,0.415
6,2021-03-28,Box Butte,Nebraska,31013,922,9,0.303,0.112,0.096,0.285,0.203
7,2021-03-28,Boyd,Nebraska,31015,173,3,0.081,0.159,0.267,0.184,0.309
8,2021-03-28,Brown,Nebraska,31017,215,2,0.141,0.082,0.167,0.275,0.335
9,2021-03-28,Buffalo,Nebraska,31019,5261,57,0.065,0.113,0.104,0.327,0.391
10,2021-03-28,Burt,Nebraska,31021,648,11,0.066,0.063,0.09,0.321,0.46
11,2021-03-28,Butler,Nebraska,31023,849,12,0.027,0.105,0.263,0.238,0.365
12,2021-03-28,Cass,Nebraska,31025,2428,15,0.042,0.049,0.119,0.24,0.55
13,2021-03-28,Cedar,Nebraska,31027,749,12,0.207,0.163,0.161,0.177,0.293
14,2021-03-28,Chase,Nebraska,31029,456,5,0.055,0.192,0.156,0.232,0.364
15,2021-03-28,Cherry,Nebraska,31031,272,6,0.158,0.042,0.095,0.377,0.328
16,2021-03-28,Cheyenne,Nebraska,31033,914,18,0.116,0.159,0.164,0.338,0.223
17,2021-03-28,Clay,Nebraska,31035,674,11,0.064,0.132,0.124,0.28,0.4
18,2021-03-28,Colfax,Nebraska,31037,1561,20,0.054,0.089,0.228,0.287,0.341
19,2021-03-28,Cuming,Nebraska,31039,1021,11,0.147,0.066,0.122,0.347,0.317
20,2021-03-28,Custer,Nebraska,31041,841,18,0.143,0.104,0.112,0.328,0.314
21,2021-03-28,Dakota,Nebraska,31043,3977,67,0.113,0.167,0.131,0.163,0.425
22,2021-03-28,Dawes,Nebraska,31045,722,19,0.224,0.103,0.11,0.321,0.242
23,2021-03-28,Dawson,Nebraska,31047,2843,31,0.096,0.114,0.115,0.348,0.328
24,2021-03-28,Deuel,Nebraska,31049,100,2,0.093,0.147,0.138,0.267,0.355
25,2021-03-28,Dixon,Nebraska,31051,595,8,0.163,0.16,0.131,0.162,0.383
26,2021-03-28,Dodge,Nebraska,31053,4773,58,0.14,0.036,0.136,0.374,0.314
27,2021-03-28,Douglas,Nebraska,31055,66240,682,0.091,0.069,0.095,0.263,0.482
28,2021-03-28,Dundy,Nebraska,31057,177,4,0.053,0.232,0.173,0.231,0.311
29,2021-03-28,Fillmore,Nebraska,31059,482,10,0.053,0.096,0.263,0.375,0.213
30,2021-03-28,Franklin,Nebraska,31061,235,3,0.083,0.168,0.083,0.288,0.378
31,2021-03-28,Frontier,Nebraska,31063,190,1,0.094,0.121,0.136,0.336,0.313
32,2021-03-28,Furnas,Nebraska,31065,496,4,0.101,0.135,0.129,0.319,0.315
33,2021-03-28,Gage,Nebraska,31067,2135,19,0.127,0.03,0.103,0.26,0.48
34,2021-03-28,Garden,Nebraska,31069,112,1,0.202,0.124,0.119,0.268,0.288
35,2021-03-28,Garfield,Nebraska,31071,145,3,0.168,0.084,0.142,0.236,0.37
36,2021-03-28,Gosper,Nebraska,31073,181,5,0.086,0.12,0.115,0.347,0.333
37,2021-03-28,Grant,Nebraska,31075,38,4,0.199,0.116,0.102,0.27,0.313
38,2021-03-28,Greeley,Nebraska,31077,209,2,0.122,0.091,0.122,0.245,0.421
39,2021-03-28,Hall,Nebraska,31079,7558,112,0.048,0.114,0.103,0.284,0.451
40,2021-03-28,Hamilton,Nebraska,31081,908,18,0.04,0.124,0.157,0.252,0.427
41,2021-03-28,Harlan,Nebraska,31083,215,0,0.089,0.158,0.102,0.302,0.348
42,2021-03-28,Hayes,Nebraska,31085,57,0,0.072,0.151,0.161,0.273,0.343
43,2021-03-28,Hitchcock,Nebraska,31087,245,4,0.085,0.162,0.19,0.263,0.301
44,2021-03-28,Holt,Nebraska,31089,798,16,0.113,0.134,0.234,0.154,0.365
45,2021-03-28,Hooker,Nebraska,31091,52,2,0.151,0.123,0.11,0.279,0.337
46,2021-03-28,Howard,Nebraska,31093,530,17,0.073,0.104,0.108,0.281,0.433
47,2021-03-28,Jefferson,Nebraska,31095,630,1,0.206,0.05,0.055,0.306,0.384
48,2021-03-28,Johnson,Nebraska,31097,637,9,0.061,0.175,0.247,0.207,0.31
49,2021-03-28,Kearney,Nebraska,31099,670,5,0.062,0.127,0.094,0.318,0.399
50,2021-03-28,Keith,Nebraska,31101,697,8,0.093,0.15,0.13,0.235,0.393
51,2021-03-28,Keya Paha,Nebraska,31103,51,0,0.124,0.09,0.183,0.273,0.331
52,2021-03-28,Kimball,Nebraska,31105,412,7,0.187,0.173,0.161,0.228,0.25
53,2021-03-28,Knox,Nebraska,31107,856,12,0.171,0.178,0.195,0.157,0.299
54,2021-03-28,Lancaster,Nebraska,31109,29477,222,0.093,0.061,0.112,0.264,0.47
55,2021-03-28,Lincoln,Nebraska,31111,3639,52,0.103,0.145,0.123,0.287,0.341
56,2021-03-28,Logan,Nebraska,31113,79,0,0.14,0.133,0.115,0.308,0.304
57,2021-03-28,Loup,Nebraska,31115,40,0,0.193,0.084,0.129,0.276,0.318
58,2021-03-28,McPherson,Nebraska,31117,29,1,0.121,0.147,0.115,0.257,0.361
59,2021-03-28,Madison,Nebraska,31119,4437,44,0.251,0.082,0.194,0.156,0.317
60,2021-03-28,Merrick,Nebraska,31121,753,15,0.05,0.125,0.137,0.234,0.454
61,2021-03-28,Morrill,Nebraska,31123,496,15,0.261,0.119,0.124,0.273,0.223
62,2021-03-28,Nance,Nebraska,31125,390,10,0.091,0.111,0.131,0.207,0.459
63,2021-03-28,Nemaha,Nebraska,31127,626,14,0.09,0.148,0.137,0.293,0.333
64,2021-03-28,Nuckolls,Nebraska,31129,430,1,0.138,0.132,0.064,0.349,0.318
65,2021-03-28,Otoe,Nebraska,31131,1367,9,0.11,0.097,0.09,0.275,0.428
66,2021-03-28,Pawnee,Nebraska,31133,232,1,0.067,0.147,0.215,0.254,0.316
67,2021-03-28,Perkins,Nebraska,31135,275,11,0.069,0.164,0.142,0.233,0.393
68,2021-03-28,Phelps,Nebraska,31137,956,9,0.072,0.126,0.103,0.336,0.363
69,2021-03-28,Pierce,Nebraska,31139,608,20,0.253,0.11,0.185,0.142,0.311
70,2021-03-28,Platte,Nebraska,31141,3907,47,0.044,0.094,0.176,0.254,0.432
71,2021-03-28,Polk,Nebraska,31143,578,18,0.029,0.167,0.277,0.174,0.353
72,2021-03-28,Red Willow,Nebraska,31145,1191,14,0.102,0.123,0.169,0.308,0.298
73,2021-03-28,Richardson,Nebraska,31147,700,18,0.098,0.185,0.166,0.252,0.298
74,2021-03-28,Rock,Nebraska,31149,102,2,0.13,0.102,0.198,0.222,0.349
75,2021-03-28,Saline,Nebraska,31151,1967,3,0.021,0.07,0.186,0.217,0.507
76,2021-03-28,Sarpy,Nebraska,31153,20918,123,0.094,0.069,0.144,0.26,0.433
77,2021-03-28,Saunders,Nebraska,31155,2379,16,0.108,0.09,0.28,0.223,0.3
78,2021-03-28,Scotts Bluff,Nebraska,31157,4590,95,0.256,0.132,0.113,0.245,0.255
79,2021-03-28,Seward,Nebraska,31159,1909,30,0.028,0.046,0.216,0.109,0.601
80,2021-03-28,Sheridan,Nebraska,31161,489,19,0.248,0.083,0.094,0.333,0.242
81,2021-03-28,Sherman,Nebraska,31163,188,4,0.093,0.099,0.11,0.307,0.39
82,2021-03-28,Sioux,Nebraska,31165,36,0,0.241,0.161,0.101,0.292,0.205
83,2021-03-28,Stanton,Nebraska,31167,354,9,0.265,0.08,0.192,0.154,0.309
84,2021-03-28,Thayer,Nebraska,31169,480,4,0.185,0.071,0.066,0.429,0.249
85,2021-03-28,Thomas,Nebraska,31171,52,1,0.152,0.12,0.118,0.302,0.308
86,2021-03-28,Thurston,Nebraska,31173,820,11,0.123,0.153,0.119,0.187,0.418
87,2021-03-28,Valley,Nebraska,31175,314,3,0.135,0.09,0.118,0.278,0.38
88,2021-03-28,Washington,Nebraska,31177,2066,22,0.086,0.116,0.15,0.261,0.386
89,2021-03-28,Wayne,Nebraska,31179,1025,7,0.245,0.12,0.155,0.141,0.34
90,2021-03-28,Webster,Nebraska,31181,367,4,0.091,0.167,0.068,0.286,0.389
91,2021-03-28,Wheeler,Nebraska,31183,38,0,0.162,0.084,0.155,0.201,0.399
92,2021-03-28,York,Nebraska,31185,1703,13,0.044,0.168,0.422,0.184,0.182
