,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Belknap,New Hampshire,33001,3324,95,0.114,0.02,0.11,0.158,0.598
1,2021-03-28,Carroll,New Hampshire,33003,1924,7,0.088,0.035,0.107,0.172,0.598
2,2021-03-28,Cheshire,New Hampshire,33005,3098,32,0.02,0.075,0.093,0.202,0.609
3,2021-03-28,Coos,New Hampshire,33007,1480,38,0.017,0.05,0.068,0.169,0.697
4,2021-03-28,Grafton,New Hampshire,33009,3046,21,0.039,0.026,0.032,0.199,0.705
5,2021-03-28,Hillsborough,New Hampshire,33011,30986,605,0.03,0.069,0.066,0.164,0.67
6,2021-03-28,Merrimack,New Hampshire,33013,8133,110,0.085,0.067,0.075,0.158,0.615
7,2021-03-28,Rockingham,New Hampshire,33015,20590,226,0.018,0.057,0.074,0.212,0.639
8,2021-03-28,Strafford,New Hampshire,33017,7916,76,0.08,0.074,0.098,0.19,0.558
9,2021-03-28,Sullivan,New Hampshire,33019,1435,22,0.06,0.103,0.012,0.252,0.574
10,2021-03-28,Unknown,New Hampshire,,1095,5,,,,,
