,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Adams,North Dakota,38001,268,3,0.219,0.166,0.189,0.233,0.193
1,2021-03-28,Barnes,North Dakota,38003,1323,31,0.111,0.079,0.137,0.248,0.425
2,2021-03-28,Benson,North Dakota,38005,1035,18,0.289,0.194,0.118,0.195,0.204
3,2021-03-28,Billings,North Dakota,38007,53,0,0.2,0.201,0.137,0.244,0.218
4,2021-03-28,Bottineau,North Dakota,38009,704,20,0.206,0.119,0.142,0.259,0.274
5,2021-03-28,Bowman,North Dakota,38011,400,5,0.188,0.141,0.146,0.262,0.263
6,2021-03-28,Burke,North Dakota,38013,229,1,0.191,0.147,0.151,0.258,0.253
7,2021-03-28,Burleigh,North Dakota,38015,14861,187,0.172,0.233,0.091,0.297,0.207
8,2021-03-28,Cass,North Dakota,38017,22455,198,0.09,0.113,0.142,0.233,0.423
9,2021-03-28,Cavalier,North Dakota,38019,424,5,0.146,0.272,0.165,0.222,0.195
10,2021-03-28,Dickey,North Dakota,38021,763,32,0.151,0.077,0.227,0.277,0.267
11,2021-03-28,Divide,North Dakota,38023,173,2,0.186,0.168,0.163,0.255,0.227
12,2021-03-28,Dunn,North Dakota,38025,369,7,0.195,0.189,0.125,0.252,0.239
13,2021-03-28,Eddy,North Dakota,38027,461,6,0.269,0.159,0.117,0.209,0.246
14,2021-03-28,Emmons,North Dakota,38029,409,13,0.16,0.221,0.094,0.302,0.222
15,2021-03-28,Foster,North Dakota,38031,571,19,0.265,0.081,0.081,0.27,0.304
16,2021-03-28,Golden Valley,North Dakota,38033,254,2,0.187,0.206,0.149,0.256,0.203
17,2021-03-28,Grand Forks,North Dakota,38035,10012,76,0.097,0.122,0.222,0.253,0.305
18,2021-03-28,Grant,North Dakota,38037,190,7,0.177,0.233,0.125,0.275,0.19
19,2021-03-28,Griggs,North Dakota,38039,308,2,0.162,0.054,0.197,0.217,0.37
20,2021-03-28,Hettinger,North Dakota,38041,322,4,0.218,0.207,0.15,0.232,0.193
21,2021-03-28,Kidder,North Dakota,38043,258,10,0.193,0.206,0.074,0.301,0.226
22,2021-03-28,LaMoure,North Dakota,38045,505,17,0.115,0.07,0.193,0.307,0.315
23,2021-03-28,Logan,North Dakota,38047,221,8,0.172,0.156,0.104,0.295,0.272
24,2021-03-28,McHenry,North Dakota,38049,614,22,0.206,0.132,0.124,0.263,0.275
25,2021-03-28,McIntosh,North Dakota,38051,326,7,0.169,0.128,0.136,0.275,0.291
26,2021-03-28,McKenzie,North Dakota,38053,1197,12,0.19,0.182,0.142,0.253,0.232
27,2021-03-28,McLean,North Dakota,38055,1236,30,0.189,0.185,0.107,0.273,0.246
28,2021-03-28,Mercer,North Dakota,38057,1095,9,0.189,0.197,0.111,0.266,0.237
29,2021-03-28,Morton,North Dakota,38059,5002,98,0.172,0.235,0.096,0.293,0.205
30,2021-03-28,Mountrail,North Dakota,38061,1282,17,0.192,0.16,0.134,0.258,0.256
31,2021-03-28,Nelson,North Dakota,38063,460,14,0.133,0.183,0.193,0.218,0.274
32,2021-03-28,Oliver,North Dakota,38065,154,3,0.181,0.217,0.102,0.28,0.221
33,2021-03-28,Pembina,North Dakota,38067,781,11,0.08,0.216,0.202,0.256,0.247
34,2021-03-28,Pierce,North Dakota,38069,531,25,0.253,0.136,0.12,0.246,0.246
35,2021-03-28,Ramsey,North Dakota,38071,1657,30,0.242,0.25,0.138,0.175,0.195
36,2021-03-28,Ransom,North Dakota,38073,630,17,0.073,0.114,0.223,0.236,0.354
37,2021-03-28,Renville,North Dakota,38075,313,13,0.193,0.13,0.141,0.262,0.274
38,2021-03-28,Richland,North Dakota,38077,1877,17,0.155,0.174,0.189,0.116,0.366
39,2021-03-28,Rolette,North Dakota,38079,2132,28,0.248,0.154,0.135,0.235,0.228
40,2021-03-28,Sargent,North Dakota,38081,437,6,0.081,0.163,0.249,0.251,0.257
41,2021-03-28,Sheridan,North Dakota,38083,105,2,0.203,0.186,0.091,0.285,0.235
42,2021-03-28,Sioux,North Dakota,38085,642,11,0.157,0.228,0.108,0.295,0.211
43,2021-03-28,Slope,North Dakota,38087,32,0,0.217,0.179,0.142,0.246,0.215
44,2021-03-28,Stark,North Dakota,38089,4533,50,0.207,0.205,0.129,0.24,0.219
45,2021-03-28,Steele,North Dakota,38091,174,2,0.172,0.061,0.302,0.182,0.283
46,2021-03-28,Stutsman,North Dakota,38093,3325,79,0.202,0.053,0.076,0.314,0.354
47,2021-03-28,Towner,North Dakota,38095,302,11,0.263,0.232,0.127,0.198,0.18
48,2021-03-28,Traill,North Dakota,38097,1006,18,0.144,0.115,0.205,0.233,0.303
49,2021-03-28,Walsh,North Dakota,38099,1790,24,0.087,0.181,0.208,0.253,0.271
50,2021-03-28,Ward,North Dakota,38101,9346,192,0.195,0.138,0.127,0.263,0.276
51,2021-03-28,Wells,North Dakota,38103,436,8,0.254,0.163,0.083,0.275,0.226
52,2021-03-28,Williams,North Dakota,38105,4600,37,0.186,0.182,0.155,0.254,0.223
53,2021-03-28,Unknown,North Dakota,,32,32,,,,,
