,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Adams,Pennsylvania,42001,7988,159,0.039,0.034,0.083,0.238,0.606
1,2021-03-28,Allegheny,Pennsylvania,42003,84522,1801,0.017,0.022,0.035,0.165,0.761
2,2021-03-28,Armstrong,Pennsylvania,42005,5126,120,0.027,0.074,0.159,0.173,0.568
3,2021-03-28,Beaver,Pennsylvania,42007,13063,356,0.015,0.023,0.1,0.137,0.725
4,2021-03-28,Bedford,Pennsylvania,42009,3942,130,0.014,0.111,0.1,0.205,0.57
5,2021-03-28,Berks,Pennsylvania,42011,39328,927,0.036,0.012,0.06,0.174,0.719
6,2021-03-28,Blair,Pennsylvania,42013,11066,312,0.041,0.132,0.083,0.249,0.495
7,2021-03-28,Bradford,Pennsylvania,42015,4750,83,0.042,0.017,0.051,0.194,0.697
8,2021-03-28,Bucks,Pennsylvania,42017,50185,1177,0.014,0.018,0.032,0.131,0.805
9,2021-03-28,Butler,Pennsylvania,42019,15067,384,0.035,0.062,0.062,0.194,0.647
10,2021-03-28,Cambria,Pennsylvania,42021,12203,403,0.026,0.062,0.153,0.228,0.53
11,2021-03-28,Cameron,Pennsylvania,42023,277,6,0.147,0.014,0.048,0.142,0.649
12,2021-03-28,Carbon,Pennsylvania,42025,5325,157,0.013,0.062,0.015,0.145,0.764
13,2021-03-28,Centre,Pennsylvania,42027,14393,213,0.017,0.013,0.076,0.101,0.792
14,2021-03-28,Chester,Pennsylvania,42029,33631,753,0.006,0.022,0.038,0.113,0.82
15,2021-03-28,Clarion,Pennsylvania,42031,2815,88,0.057,0.03,0.152,0.155,0.605
16,2021-03-28,Clearfield,Pennsylvania,42033,7052,128,0.051,0.055,0.176,0.206,0.512
17,2021-03-28,Clinton,Pennsylvania,42035,3061,57,0.014,0.024,0.077,0.19,0.696
18,2021-03-28,Columbia,Pennsylvania,42037,4896,126,0.02,0.046,0.05,0.163,0.721
19,2021-03-28,Crawford,Pennsylvania,42039,6648,143,0.024,0.016,0.136,0.266,0.558
20,2021-03-28,Cumberland,Pennsylvania,42041,17779,495,0.031,0.032,0.183,0.192,0.562
21,2021-03-28,Dauphin,Pennsylvania,42043,22112,517,0.032,0.023,0.258,0.147,0.539
22,2021-03-28,Delaware,Pennsylvania,42045,44208,1338,0.01,0.01,0.044,0.123,0.814
23,2021-03-28,Elk,Pennsylvania,42047,2511,37,0.055,0.016,0.084,0.15,0.695
24,2021-03-28,Erie,Pennsylvania,42049,18542,392,0.016,0.025,0.057,0.136,0.766
25,2021-03-28,Fayette,Pennsylvania,42051,11108,286,0.053,0.064,0.144,0.161,0.578
26,2021-03-28,Forest,Pennsylvania,42053,1393,21,0.016,0.008,0.158,0.196,0.622
27,2021-03-28,Franklin,Pennsylvania,42055,13348,338,0.023,0.04,0.082,0.248,0.607
28,2021-03-28,Fulton,Pennsylvania,42057,1183,15,0.013,0.145,0.053,0.23,0.559
29,2021-03-28,Greene,Pennsylvania,42059,2820,37,0.104,0.11,0.187,0.124,0.475
30,2021-03-28,Huntingdon,Pennsylvania,42061,4540,126,0.07,0.06,0.155,0.232,0.483
31,2021-03-28,Indiana,Pennsylvania,42063,5319,161,0.015,0.047,0.066,0.22,0.652
32,2021-03-28,Jefferson,Pennsylvania,42065,2958,91,0.083,0.046,0.142,0.197,0.531
33,2021-03-28,Juniata,Pennsylvania,42067,1897,81,0.065,0.068,0.093,0.214,0.56
34,2021-03-28,Lackawanna,Pennsylvania,42069,15336,433,0.007,0.006,0.039,0.106,0.843
35,2021-03-28,Lancaster,Pennsylvania,42071,47271,1077,0.037,0.013,0.054,0.172,0.724
36,2021-03-28,Lawrence,Pennsylvania,42073,6546,194,0.034,0.07,0.093,0.301,0.503
37,2021-03-28,Lebanon,Pennsylvania,42075,13703,264,0.026,0.008,0.062,0.178,0.725
38,2021-03-28,Lehigh,Pennsylvania,42077,33614,804,0.014,0.004,0.053,0.103,0.826
39,2021-03-28,Luzerne,Pennsylvania,42079,26788,760,0.016,0.024,0.045,0.136,0.779
40,2021-03-28,Lycoming,Pennsylvania,42081,10080,261,0.062,0.057,0.06,0.207,0.614
41,2021-03-28,McKean,Pennsylvania,42083,3157,65,0.012,0.004,0.03,0.134,0.82
