,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Adjuntas,Puerto Rico,72001,479,,,,,,
1,2021-03-28,Aguada,Puerto Rico,72003,1259,,,,,,
2,2021-03-28,Aguadilla,Puerto Rico,72005,1597,,,,,,
3,2021-03-28,Aguas Buenas,Puerto Rico,72007,1063,,,,,,
4,2021-03-28,Aibonito,Puerto Rico,72009,615,,,,,,
5,2021-03-28,Anasco,Puerto Rico,72011,846,,,,,,
6,2021-03-28,Arecibo,Puerto Rico,72013,3012,,,,,,
7,2021-03-28,Arroyo,Puerto Rico,72015,362,,,,,,
8,2021-03-28,Barceloneta,Puerto Rico,72017,761,,,,,,
9,2021-03-28,Barranquitas,Puerto Rico,72019,1343,,,,,,
10,2021-03-28,Bayamon,Puerto Rico,72021,10473,,,,,,
11,2021-03-28,Cabo Rojo,Puerto Rico,72023,949,,,,,,
12,2021-03-28,Caguas,Puerto Rico,72025,5950,,,,,,
13,2021-03-28,Camuy,Puerto Rico,72027,1175,,,,,,
14,2021-03-28,Canovanas,Puerto Rico,72029,1864,,,,,,
15,2021-03-28,Carolina,Puerto Rico,72031,8299,,,,,,
16,2021-03-28,Catano,Puerto Rico,72033,1245,,,,,,
17,2021-03-28,Cayey,Puerto Rico,72035,1371,,,,,,
18,2021-03-28,Ceiba,Puerto Rico,72037,416,,,,,,
19,2021-03-28,Ciales,Puerto Rico,72039,776,,,,,,
20,2021-03-28,Cidra,Puerto Rico,72041,1264,,,,,,
21,2021-03-28,Coamo,Puerto Rico,72043,989,,,,,,
22,2021-03-28,Comerio,Puerto Rico,72045,721,,,,,,
23,2021-03-28,Corozal,Puerto Rico,72047,1677,,,,,,
24,2021-03-28,Culebra,Puerto Rico,72049,28,,,,,,
25,2021-03-28,Dorado,Puerto Rico,72051,2219,,,,,,
26,2021-03-28,Fajardo,Puerto Rico,72053,1310,,,,,,
27,2021-03-28,Florida,Puerto Rico,72054,701,,,,,,
28,2021-03-28,Guanica,Puerto Rico,72055,261,,,,,,
29,2021-03-28,Guayama,Puerto Rico,72057,890,,,,,,
30,2021-03-28,Guayanilla,Puerto Rico,72059,453,,,,,,
31,2021-03-28,Guaynabo,Puerto Rico,72061,4515,,,,,,
32,2021-03-28,Gurabo,Puerto Rico,72063,1961,,,,,,
33,2021-03-28,Hatillo,Puerto Rico,72065,1142,,,,,,
34,2021-03-28,Hormigueros,Puerto Rico,72067,433,,,,,,
35,2021-03-28,Humacao,Puerto Rico,72069,1767,,,,,,
36,2021-03-28,Isabela,Puerto Rico,72071,1265,,,,,,
37,2021-03-28,Jayuya,Puerto Rico,72073,427,,,,,,
38,2021-03-28,Juana Diaz,Puerto Rico,72075,1187,,,,,,
39,2021-03-28,Juncos,Puerto Rico,72077,1877,,,,,,
40,2021-03-28,Lajas,Puerto Rico,72079,431,,,,,,
41,2021-03-28,Lares,Puerto Rico,72081,912,,,,,,
42,2021-03-28,Las Marias,Puerto Rico,72083,210,,,,,,
43,2021-03-28,Las Piedras,Puerto Rico,72085,1516,,,,,,
44,2021-03-28,Loiza,Puerto Rico,72087,1055,,,,,,
45,2021-03-28,Luquillo,Puerto Rico,72089,679,,,,,,
46,2021-03-28,Manati,Puerto Rico,72091,1595,,,,,,
47,2021-03-28,Maricao,Puerto Rico,72093,118,,,,,,
48,2021-03-28,Maunabo,Puerto Rico,72095,328,,,,,,
49,2021-03-28,Mayaguez,Puerto Rico,72097,2035,,,,,,
50,2021-03-28,Moca,Puerto Rico,72099,1429,,,,,,
51,2021-03-28,Morovis,Puerto Rico,72101,1373,,,,,,
52,2021-03-28,Naguabo,Puerto Rico,72103,833,,,,,,
53,2021-03-28,Naranjito,Puerto Rico,72105,1639,,,,,,
54,2021-03-28,Orocovis,Puerto Rico,72107,907,,,,,,
55,2021-03-28,Patillas,Puerto Rico,72109,384,,,,,,
56,2021-03-28,Penuelas,Puerto Rico,72111,552,,,,,,
57,2021-03-28,Ponce,Puerto Rico,72113,3302,,,,,,
58,2021-03-28,Quebradillas,Puerto Rico,72115,763,,,,,,
59,2021-03-28,Rincon,Puerto Rico,72117,470,,,,,,
60,2021-03-28,Rio Grande,Puerto Rico,72119,1881,,,,,,
61,2021-03-28,Sabana Grande,Puerto Rico,72121,428,,,,,,
62,2021-03-28,Salinas,Puerto Rico,72123,1050,,,,,,
63,2021-03-28,San German,Puerto Rico,72125,626,,,,,,
64,2021-03-28,San Juan,Puerto Rico,72127,18689,,,,,,
65,2021-03-28,San Lorenzo,Puerto Rico,72129,1627,,,,,,
66,2021-03-28,San Sebastian,Puerto Rico,72131,1702,,,,,,
67,2021-03-28,Santa Isabel,Puerto Rico,72133,586,,,,,,
68,2021-03-28,Toa Alta,Puerto Rico,72135,3873,,,,,,
69,2021-03-28,Toa Baja,Puerto Rico,72137,3994,,,,,,
70,2021-03-28,Trujillo Alto,Puerto Rico,72139,3009,,,,,,
71,2021-03-28,Utuado,Puerto Rico,72141,894,,,,,,
72,2021-03-28,Vega Alta,Puerto Rico,72143,1854,,,,,,
73,2021-03-28,Vega Baja,Puerto Rico,72145,2765,,,,,,
74,2021-03-28,Vieques,Puerto Rico,72147,200,,,,,,
75,2021-03-28,Villalba,Puerto Rico,72149,790,,,,,,
76,2021-03-28,Yabucoa,Puerto Rico,72151,1062,,,,,,
77,2021-03-28,Yauco,Puerto Rico,72153,1019,,,,,,
78,2021-03-28,Unknown,Puerto Rico,,4581,2112,,,,,
