,date,county,state,fips,cases,deaths,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,2021-03-28,Abbeville,South Carolina,45001,2418,37,0.117,0.102,0.243,0.166,0.371
1,2021-03-28,Aiken,South Carolina,45003,16456,215,0.1,0.086,0.116,0.193,0.505
2,2021-03-28,Allendale,South Carolina,45005,889,15,0.172,0.211,0.012,0.22,0.384
3,2021-03-28,Anderson,South Carolina,45007,21630,495,0.069,0.065,0.138,0.26,0.468
4,2021-03-28,Bamberg,South Carolina,45009,1505,51,0.167,0.031,0.053,0.235,0.515
5,2021-03-28,Barnwell,South Carolina,45011,2473,53,0.169,0.067,0.035,0.281,0.447
6,2021-03-28,Beaufort,South Carolina,45013,16214,198,0.038,0.027,0.055,0.147,0.733
7,2021-03-28,Berkeley,South Carolina,45015,16124,182,0.05,0.074,0.107,0.171,0.597
8,2021-03-28,Calhoun,South Carolina,45017,1273,36,0.06,0.047,0.129,0.173,0.592
9,2021-03-28,Charleston,South Carolina,45019,40436,478,0.036,0.059,0.062,0.186,0.657
10,2021-03-28,Cherokee,South Carolina,45021,5727,146,0.088,0.083,0.121,0.179,0.528
11,2021-03-28,Chester,South Carolina,45023,3950,70,0.151,0.065,0.055,0.23,0.5
12,2021-03-28,Chesterfield,South Carolina,45025,4554,98,0.117,0.079,0.148,0.129,0.526
13,2021-03-28,Clarendon,South Carolina,45027,3292,105,0.083,0.147,0.128,0.157,0.486
14,2021-03-28,Colleton,South Carolina,45029,3385,122,0.088,0.077,0.094,0.1,0.641
15,2021-03-28,Darlington,South Carolina,45031,8125,172,0.153,0.083,0.114,0.103,0.548
16,2021-03-28,Dillon,South Carolina,45033,4216,80,0.156,0.056,0.188,0.17,0.43
17,2021-03-28,Dorchester,South Carolina,45035,16250,206,0.071,0.071,0.123,0.16,0.576
18,2021-03-28,Edgefield,South Carolina,45037,2956,41,0.099,0.084,0.083,0.165,0.569
19,2021-03-28,Fairfield,South Carolina,45039,2267,77,0.046,0.032,0.046,0.31,0.566
20,2021-03-28,Florence,South Carolina,45041,17155,396,0.114,0.08,0.133,0.109,0.564
21,2021-03-28,Georgetown,South Carolina,45043,6461,136,0.04,0.014,0.079,0.191,0.675
22,2021-03-28,Greenville,South Carolina,45045,68968,942,0.049,0.079,0.153,0.206,0.513
23,2021-03-28,Greenwood,South Carolina,45047,7605,166,0.074,0.087,0.226,0.151,0.463
24,2021-03-28,Hampton,South Carolina,45049,1825,47,0.13,0.156,0.025,0.148,0.542
25,2021-03-28,Horry,South Carolina,45051,36773,554,0.086,0.052,0.081,0.19,0.591
26,2021-03-28,Jasper,South Carolina,45053,2227,43,0.129,0.055,0.056,0.201,0.559
27,2021-03-28,Kershaw,South Carolina,45055,7029,133,0.062,0.019,0.114,0.189,0.616
28,2021-03-28,Lancaster,South Carolina,45057,10043,157,0.067,0.068,0.048,0.224,0.594
29,2021-03-28,Laurens,South Carolina,45059,6675,164,0.09,0.102,0.164,0.214,0.43
30,2021-03-28,Lee,South Carolina,45061,1825,59,0.123,0.06,0.154,0.157,0.506
31,2021-03-28,Lexington,South Carolina,45063,31479,464,0.044,0.038,0.129,0.214,0.576
32,2021-03-28,McCormick,South Carolina,45065,990,27,0.072,0.115,0.106,0.202,0.505
33,2021-03-28,Marion,South Carolina,45067,3411,101,0.28,0.036,0.182,0.127,0.376
34,2021-03-28,Marlboro,South Carolina,45069,3121,51,0.155,0.027,0.153,0.149,0.515
35,2021-03-28,Newberry,South Carolina,45071,4655,95,0.078,0.128,0.062,0.202,0.529
36,2021-03-28,Oconee,South Carolina,45073,8892,131,0.142,0.061,0.103,0.221,0.472
37,2021-03-28,Orangeburg,South Carolina,45075,9275,234,0.135,0.056,0.111,0.169,0.529
38,2021-03-28,Pickens,South Carolina,45077,17435,279,0.066,0.059,0.146,0.236,0.493
39,2021-03-28,Richland,South Carolina,45079,43687,527,0.03,0.016,0.099,0.235,0.62
40,2021-03-28,Saluda,South Carolina,45081,1706,48,0.053,0.095,0.117,0.206,0.529
41,2021-03-28,Spartanburg,South Carolina,45083,38533,760,0.06,0.091,0.126,0.227,0.496
42,2021-03-28,Sumter,South Carolina,45085,10055,194,0.128,0.054,0.154,0.182,0.483
43,2021-03-28,Union,South Carolina,45087,2860,84,0.14,0.02,0.074,0.305,0.462
44,2021-03-28,Williamsburg,South Carolina,45089,3924,95,0.034,0.057,0.12,0.158,0.631
45,2021-03-28,York,South Carolina,45091,28450,358,0.057,0.074,0.062,0.204,0.602
