,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
1,Alabama,1,494421,9991,14296,1.214885283,1.438094572,4934190,97.427
2,Alaska,2,58383,290,1894,1.493664203,2.118268215,724357,1.2694
3,Arizona,4,819281,16065,14602,1.230173949,1.49274072,7520100,66.2016
4,Arkansas,5,322949,5254,4507,1.330596849,1.605724429,3033950,58.3059
5,California,6,3577973,52774,50393,1.390728871,1.754628619,39613500,254.2929
6,Colorado,8,432939,6054,14210,1.480436312,2.114848698,5893630,56.8653
7,Connecticut,9,283128,7658,10827,1.61051076,2.487115544,3552820,733.7505
8,Delaware,10,87193,1426,3558,1.522203485,2.074198988,990334,508.1242
9,District of Columbia,11,40767,1019,1963,1.386143658,1.857361182,714153,11707.4262
10,Florida,12,1918092,31134,66325,1.483799472,2.025495665,21944600,409.2233
11,Georgia,13,986968,16936,24393,1.484360267,1.902636002,10830000,188.3053
12,Hawaii,15,27532,436,825,1.718787879,2.614545455,1406430,218.9678
13,Idaho,16,172031,1874,4102,1.517064846,1.999512433,1860120,22.5079
14,Illinois,17,1192860,22803,22885,1.553768844,2.302294079,12569300,226.3964
15,Indiana,18,665962,12623,10837,1.513149396,2.101873212,6805660,189.9643
16,Iowa,19,337496,5498,6355,1.493154996,2.086546027,3167970,56.7157
17,Kansas,20,297460,4743,3710,1.40296496,1.811051213,2917220,35.6807
18,Kentucky,21,409843,4822,11046,1.425764983,1.779648742,4480710,113.4759
19,Louisiana,22,431271,9647,7286,1.441119956,1.803870436,4627000,107.0966
20,Maine,23,44944,703,2444,1.566693944,2.172258592,1354520,43.9166
21,Maryland,24,383352,7905,11548,1.581226186,2.321700727,6065440,624.8522
22,Massachusetts,25,582844,16182,21822,1.597058015,2.302126295,6912240,886.1846
23,Michigan,26,648990,16534,27477,1.905448193,3.271390618,9992430,176.7352
24,Minnesota,27,485723,6558,13271,1.625800618,2.429055836,5706400,71.6641
25,Mississippi,28,295295,6724,5955,1.333837112,1.605877414,2966410,63.2187
26,Missouri,29,518029,8402,57539,1.070352283,1.155442396,6169040,89.7419
27,Montana,30,100272,1373,2197,1.505234411,1.904415112,1085000,7.4547
28,Nebraska,31,201894,2210,3752,1.467750533,2.020255864,1952000,25.4087
29,Nevada,32,294336,4972,5551,1.294001081,1.656818591,3185790,29.0195
30,New Hampshire,33,75803,1170,3267,1.631160086,2.421487603,1372200,153.2671
31,New Jersey,34,795785,23321,48778,1.600209111,2.241973841,8874520,1206.7609
32,New Mexico,35,185542,3742,3122,1.448430493,1.868994234,2105000,17.354
33,New York,36,1656941,47345,98509,1.398796049,2.101036454,19300000,409.5404
34,North Carolina,37,867866,11320,24697,1.488034984,2.020933717,10701000,220.1037
35,North Dakota,38,99987,1477,1194,1.598827471,2.449748744,770026,11.1596
36,Ohio,39,970583,16750,21640,1.489787431,2.079205176,11714600,286.6939
37,Oklahoma,40,424999,4534,8026,1.325068527,1.616620982,3990440,58.1739
38,Oregon,41,156088,2231,3996,1.504754755,2.125625626,4289440,44.6873
39,Pennsylvania,42,940811,24135,35061,1.609594706,2.428538832,12804100,286.1699
40,Rhode Island,44,126849,2525,4901,1.527647419,2.023260559,3194370,923.4952
41,South Carolina,45,518823,8576,16046,1.501246417,1.984669076,1061510,1026.6054
42,South Dakota,46,112652,1888,2139,1.611968209,2.264142122,5277830,175.5707
43,Tennessee,47,762964,11342,16924,1.51175845,1.97394233,896581,11.8265
44,Texas,48,2668665,44353,69554,1.352661242,1.743451131,6944260,168.4069
45,Utah,49,372035,1949,7104,1.434966216,1.851210586,29730300,113.808
46,Vermont,50,15372,206,1675,1.528955224,2.231044776,3310770,40.2917
47,Virginia,51,578559,8943,18582,1.543160047,2.119362824,623251,67.6197
48,Washington,53,344516,5056,9465,1.560908611,2.250396197,8603980,217.8774
49,West Virginia,54,132184,2301,3835,1.628422425,2.382790091,7796940,117.3248
50,Wisconsin,55,618310,7055,8227,1.42579312,2.092257202,1767860,73.5444
51,Wyoming,56,54527,682,825,1.541818182,2.071515152,5852490,108.0633
54,Puerto Rico,72,134350,2040,2543,1.633110499,2.504915454,581075,5.9847
