,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,Average Case number per day,pop,density
1,Alabama,1,516918,10638,11687,0.243005048,0.196714298,4/5/2021,328.4285714,4934190,97.427
2,Alaska,2,63486,299,1824,0.389254386,0.95504386,4/5/2021,248.8571429,724357,1.2694
3,Arizona,4,844921,16990,9500,0.396210526,0.465263158,4/5/2021,631.4285714,7520100,66.2016
4,Arkansas,5,331098,5648,3756,0.346379127,0.290202343,4/5/2021,155.7142857,3033950,58.3059
5,California,6,3682916,59761,41665,0.443393736,0.453234129,4/5/2021,2697.714286,39613500,254.2929
6,Colorado,8,471702,6190,13436,0.66418577,0.724397142,4/5/2021,1390.428571,5893630,56.8653
7,Connecticut,9,316655,7923,12271,0.714856165,0.669546084,4/5/2021,1173.714286,3552820,733.7505
8,Delaware,10,96577,1566,3866,0.510346611,0.562596999,4/5/2021,310.7142857,990334,508.1242
9,District of Columbia,11,45112,1072,1804,0.479490022,0.478935698,4/5/2021,123.4285714,714153,11707.4262
10,Florida,12,2085298,33709,62904,0.574971385,0.602934631,4/5/2021,5418.142857,21944600,409.2233
11,Georgia,13,1041275,18625,21839,0.492055497,0.422638399,4/5/2021,1318.571429,10830000,188.3053
12,Hawaii,15,30427,464,1050,0.68,0.762857143,4/5/2021,114.4285714,1406430,218.9678
13,Idaho,16,181961,1975,4406,0.44666364,0.468452111,4/5/2021,294.8571429,1860120,22.5079
14,Illinois,17,1262345,23665,23587,0.702759995,0.812905414,4/5/2021,2739.142857,12569300,226.3964
15,Indiana,18,694918,13075,10724,0.589145841,0.643509884,4/5/2021,985.8571429,6805660,189.9643
16,Iowa,19,353829,5822,6090,0.656978654,0.592775041,4/5/2021,515.7142857,3167970,56.7157
17,Kansas,20,305489,4927,3099,0.49725718,0.434333656,4/5/2021,192.2857143,2917220,35.6807
18,Kentucky,21,432851,6267,10166,0.40517411,0.395042298,4/5/2021,573.7142857,4480710,113.4759
19,Louisiana,22,446737,10165,6777,0.418916925,0.417884019,4/5/2021,404.5714286,4627000,107.0966
20,Maine,23,51986,746,2716,0.511045655,0.72017673,4/5/2021,279.4285714,1354520,43.9166
21,Maryland,24,418374,8363,12673,0.660459244,0.719166732,4/5/2021,1302,6065440,624.8522
22,Massachusetts,25,646220,17325,23530,0.644156396,0.645516362,4/5/2021,2169.857143,6912240,886.1846
23,Michigan,26,779658,17274,38506,0.930270607,1.221549888,4/5/2021,6719.571429,9992430,176.7352
24,Minnesota,27,527728,6963,15893,0.644434657,0.694771283,4/5/2021,1577.428571,5706400,71.6641
25,Mississippi,28,306158,7055,5281,0.333838288,0.277030865,4/5/2021,209,2966410,63.2187
26,Missouri,29,588005,8990,8298,0.591226802,0.490720656,4/5/2021,581.7142857,6169040,89.7419
27,Montana,30,105273,1466,2134,0.499531396,0.45923149,4/5/2021,140,1085000,7.4547
28,Nebraska,31,212237,2289,3578,0.570430408,0.858580212,4/5/2021,438.8571429,1952000,25.4087
29,Nevada,32,305374,5275,4903,0.394044463,0.421986539,4/5/2021,295.5714286,3185790,29.0195
30,New Hampshire,33,86125,1249,3690,0.701897019,0.754742547,4/5/2021,397.8571429,1372200,153.2671
31,New Jersey,34,930026,24649,54121,0.577114244,0.549786589,4/5/2021,4250.714286,8874520,1206.7609
32,New Mexico,35,192595,3955,2853,0.468629513,0.478443743,4/5/2021,195,2105000,17.354
33,New York,36,1910858,50195,87586,0.801817642,0.601648665,4/5/2021,7528,19300000,409.5404
34,North Carolina,37,928253,12200,24032,0.53790779,0.499958389,4/5/2021,1716.428571,10701000,220.1037
35,North Dakota,38,103745,1497,1283,0.73187841,0.837100546,4/5/2021,153.4285714,770026,11.1596
36,Ohio,39,1026929,18643,21469,0.555405468,0.643253063,4/5/2021,1972.857143,11714600,286.6939
37,Oklahoma,40,440022,4953,6288,0.382156489,0.344942748,4/5/2021,309.8571429,3990440,58.1739
38,Oregon,41,167219,2409,4189,0.586297446,0.707328718,4/5/2021,423.2857143,4289440,44.6873
39,Pennsylvania,42,1050649,25254,38285,0.704244482,0.785294502,4/5/2021,4295,12804100,286.1699
40,Rhode Island,44,139173,2629,5058,0.470541716,0.544483986,4/5/2021,393.4285714,3194370,923.4952
41,South Carolina,45,556469,9203,15487,0.50784529,0.413314393,4/5/2021,914.4285714,1061510,1026.6054
42,South Dakota,46,118517,1938,2376,0.574074074,0.497053872,4/5/2021,168.7142857,5277830,175.5707
