,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
1,Alabama,1,494421,9991,14296,0.214885283,0.223209289,4934190,97.427
2,Alaska,2,58383,290,1894,0.493664203,0.624604013,724357,1.2694
3,Arizona,4,819281,16065,14602,0.230173949,0.262566772,7520100,66.2016
4,Arkansas,5,322949,5254,4507,0.330596849,0.275127579,3033950,58.3059
5,California,6,3577973,52774,50393,0.390728871,0.363899748,39613500,254.2929
6,Colorado,8,432939,6054,14210,0.480436312,0.634412386,5893630,56.8653
7,Connecticut,9,283128,7658,10827,0.61051076,0.876604784,3552820,733.7505
8,Delaware,10,87193,1426,3558,0.522203485,0.551995503,990334,508.1242
9,District of Columbia,11,40767,1019,1963,0.386143658,0.471217524,714153,11707.4262
10,Florida,12,1918092,31134,66325,0.483799472,0.541696193,21944600,409.2233
11,Georgia,13,986968,16936,24393,0.484360267,0.418275735,10830000,188.3053
12,Hawaii,15,27532,436,825,0.718787879,0.895757576,1406430,218.9678
13,Idaho,16,172031,1874,4102,0.517064846,0.482447587,1860120,22.5079
14,Illinois,17,1192860,22803,22885,0.553768844,0.748525235,12569300,226.3964
15,Indiana,18,665962,12623,10837,0.513149396,0.588723817,6805660,189.9643
16,Iowa,19,337496,5498,6355,0.493154996,0.593391031,3167970,56.7157
17,Kansas,20,297460,4743,3710,0.40296496,0.408086253,2917220,35.6807
18,Kentucky,21,409843,4822,11046,0.425764983,0.353883759,4480710,113.4759
19,Louisiana,22,431271,9647,7286,0.441119956,0.36275048,4627000,107.0966
20,Maine,23,44944,703,2444,0.566693944,0.605564648,1354520,43.9166
21,Maryland,24,383352,7905,11548,0.581226186,0.740474541,6065440,624.8522
22,Massachusetts,25,582844,16182,21822,0.597058015,0.70506828,6912240,886.1846
23,Michigan,26,648990,16534,27477,0.905448193,1.365942425,9992430,176.7352
24,Minnesota,27,485723,6558,13271,0.625800618,0.803255218,5706400,71.6641
25,Mississippi,28,295295,6724,5955,0.333837112,0.272040302,2966410,63.2187
26,Missouri,29,518029,8402,57539,0.070352283,0.085090113,6169040,89.7419
